,weighted_mean,std,quantile_95,ratio_above_thr
PAS,0.00021814125945029289,0.00038376033604871704,0.0005788548864074987,0.024539877300613498
NAS,0.004183944074601855,0.004387528369248025,0.016168809775263072,0.08588957055214724
SI,0.03423159962134893,0.013856184452068411,0.0589836394879967,0.03680981595092025
EPI,0.00026454460183431895,0.000293829920243795,0.0010619985643653285,0.08588957055214724
EAI,0.02422565401573837,0.010450268568818508,0.04322447704616934,0.04294478527607362
RIS,0.0584572536370873,0.018277695524448585,0.08570962934172713,0.03680981595092025
